Time[Second] 1,Pulse (ID=1) [Arb],Manual Values,
3.15 ,100,,
3.16 ,101,,
3.17 ,103,,
3.18 ,104,,
3.19 ,101,,
3.2 ,98,,
3.21 ,97,,
3.22 ,98,,
3.23 ,102,,
3.24 ,119,,
3.25 ,157,,
3.26 ,225,,
3.27 ,323,,
3.28 ,444,,
3.29 ,575,,
3.3 ,711,,
3.31 ,816,,
3.32 ,930,,
3.33 ,985,,
3.34 ,1007,,
3.35 ,1016,,
3.36 ,1020,,
3.37 ,1022,,
3.38 ,1022,,
3.39 ,1018,,
3.4 ,1007,,
3.41 ,977,,
3.42 ,934,,
3.43 ,879,,
3.44 ,819,,
3.45 ,756,,
3.46 ,695,,
3.47 ,635,,
3.48 ,578,,
3.49 ,533,,
3.5 ,477,,
3.51 ,423,,
3.52 ,371,,
3.53 ,323,,
3.54 ,282,,
3.55 ,247,,
3.56 ,221,,
3.57 ,206,,
3.58 ,198,,
3.59 ,198,,
3.6 ,206,,
3.61 ,218,,
3.62 ,233,,
3.63 ,246,,
3.64 ,259,,
3.65 ,269,,
3.66 ,275,,
3.67 ,281,,
3.68 ,283,,
3.69 ,280,,
3.7 ,273,,
3.71 ,265,,
3.72 ,254,,
3.73 ,240,,
3.74 ,228,,
3.75 ,212,,
3.76 ,196,,
3.77 ,181,,
3.78 ,168,,
3.79 ,154,,
3.8 ,142,,
3.81 ,131,,
3.82 ,125,,
3.83 ,120,,
3.84 ,117,,
3.85 ,115,,
3.86 ,113,,
3.87 ,109,,
3.88 ,104,,
3.89 ,98,,
3.9 ,93,,
3.91 ,89,,
3.92 ,87,,
3.93 ,83,,
3.94 ,82,,
3.95 ,82,,
3.96 ,84,,
3.97 ,86,,
3.98 ,92,,
3.99 ,98,,
4 ,102,,
4.01 ,104,,
4.02 ,105,,
4.03 ,103,,
4.04 ,103,,
4.05 ,103,,
4.06 ,105,,
4.07 ,106,,
4.08 ,106,,
4.09 ,105,,
4.1 ,104,,
4.11 ,102,,
4.12 ,105,,
4.13 ,119,,
4.14 ,155,,
4.15 ,220,,
4.16 ,319,,
4.17 ,418,,
4.18 ,556,,
4.19 ,696,,
4.2 ,834,,
4.21 ,942,,
4.22 ,990,,
4.23 ,1009,,
4.24 ,1017,,
4.25 ,1020,,
4.26 ,1022,,
4.27 ,1022,,
4.28 ,1020,,
4.29 ,1007,,
4.3 ,976,,
4.31 ,928,,
4.32 ,871,,
4.33 ,806,,
4.34 ,752,,
4.35 ,688,,
4.36 ,627,,
4.37 ,567,,
4.38 ,509,,
4.39 ,452,,
4.4 ,398,,
4.41 ,348,,
4.42 ,312,,
4.43 ,276,,
4.44 ,247,,
4.45 ,227,,
4.46 ,216,,
4.47 ,212,,
4.48 ,217,,
4.49 ,228,,
4.5 ,244,,
4.51 ,256,,
4.52 ,271,,
4.53 ,286,,
4.54 ,299,,
4.55 ,307,,
4.56 ,310,,
4.57 ,307,,
4.58 ,302,,
4.59 ,294,,
4.6 ,284,,
4.61 ,272,,
4.62 ,259,,
4.63 ,244,,
4.64 ,230,,
4.65 ,215,,
4.66 ,201,,
4.67 ,186,,
4.68 ,175,,
4.69 ,162,,
4.7 ,151,,
4.71 ,141,,
4.72 ,133,,
4.73 ,126,,
4.74 ,122,,
4.75 ,116,,
4.76 ,113,,
4.77 ,110,,
4.78 ,107,,
4.79 ,103,,
4.8 ,99,,
4.81 ,94,,
4.82 ,91,,
4.83 ,90,,
4.84 ,90,,
4.85 ,91,,
4.86 ,94,,
4.87 ,96,,
4.88 ,98,,
4.89 ,99,,
4.9 ,100,,
4.91 ,97,,
4.92 ,94,,
4.93 ,90,,
4.94 ,88,,
4.95 ,86,,
4.96 ,90,,
4.97 ,104,,
4.98 ,138,,
4.99 ,200,,
5 ,294,,
5.01 ,415,,
5.02 ,522,,
5.03 ,659,,
5.04 ,794,,
5.05 ,915,,
5.06 ,980,,
5.07 ,1005,,
5.08 ,1015,,
5.09 ,1019,,
5.1 ,1021,,
5.11 ,1022,,
5.12 ,1018,,
5.13 ,1003,,
5.14 ,969,,
5.15 ,919,,
5.16 ,859,,
5.17 ,792,,
5.18 ,725,,
5.19 ,670,,
5.2 ,605,,
5.21 ,541,,
5.22 ,481,,
5.23 ,423,,
5.24 ,371,,
5.25 ,323,,
5.26 ,283,,
5.27 ,250,,
5.28 ,232,,
5.29 ,215,,
5.3 ,207,,
5.31 ,207,,
5.32 ,213,,
5.33 ,223,,
5.34 ,237,,
5.35 ,251,,
5.36 ,263,,
5.37 ,277,,
5.38 ,289,,
5.39 ,297,,
5.4 ,301,,
5.41 ,300,,
5.42 ,294,,
5.43 ,284,,
5.44 ,272,,
5.45 ,261,,
5.46 ,245,,
5.47 ,228,,
5.48 ,212,,
5.49 ,197,,
5.5 ,182,,
5.51 ,167,,
5.52 ,154,,
5.53 ,144,,
5.54 ,133,,
5.55 ,121,,
5.56 ,111,,
5.57 ,103,,
5.58 ,96,,
5.59 ,88,,
5.6 ,83,,
5.61 ,78,,
5.62 ,76,,
5.63 ,73,,
5.64 ,73,,
5.65 ,72,,
5.66 ,71,,
5.67 ,70,,
5.68 ,70,,
5.69 ,69,,
5.7 ,69,,
5.71 ,70,,
5.72 ,73,,
5.73 ,76,,
5.74 ,81,,
5.75 ,82,,
5.76 ,83,,
5.77 ,82,,
5.78 ,80,,
5.79 ,78,,
5.8 ,76,,
5.81 ,76,,
5.82 ,88,,
5.83 ,115,,
5.84 ,167,,
5.85 ,251,,
5.86 ,370,,
